"Name","Level","TID","InfoTID","Action","ActionCount","ActionData","ExpReward","DiamondReward","IconSWF","IconExportName","CompletedTID","ShowValue"
"String","int","String","String","String","int","String","int","int","String","String","String","boolean"
"com.supercell.magic.goldstoragelevel0",0,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",2,"Gold Storage",10,2,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true"
"com.supercell.magic.goldstoragelevel1",1,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",5,"Gold Storage",100,5,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true"
"com.supercell.magic.goldstoragelevel2",2,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",10,"Gold Storage",1000,10,,,"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","true"
,,,,,,,,,,,,
"com.supercell.magic.npcstars0",0,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",10,,10,5,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true"
"com.supercell.magic.npcstars1",1,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",50,,100,10,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true"
"com.supercell.magic.npcstars2",2,"TID_ACHIEVEMENT_NPC_STARS_TITLE","TID_ACHIEVEMENT_NPC_STARS","npc_stars",150,,1000,20,,,"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","true"
,,,,,,,,,,,,
"com.supercell.magic.townhall0",0,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",3,"Town Hall",10,5,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true"
"com.supercell.magic.townhall1",1,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",5,"Town Hall",100,10,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true"
"com.supercell.magic.townhall2",2,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",8,"Town Hall",1000,20,,,"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","true"
,,,,,,,,,,,,
"com.supercell.magic.clearobstacles0",0,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",5,,10,5,,,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","true"
"com.supercell.magic.clearobstacles1",1,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",50,,100,10,,,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","true"
"com.supercell.magic.clearobstacles2",2,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",500,,1000,20,,,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","true"
,,,,,,,,,,,,
"com.supercell.magic.unitunlock0",0,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Archer",10,5,,,,"true"
"com.supercell.magic.unitunlock1",1,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Wall Breaker",100,10,,,,"true"
"com.supercell.magic.unitunlock2",2,"TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE","TID_ACHIEVEMENT_UNIT_UNLOCK","unit_unlock",1,"Dragon",1000,20,,,,"true"
,,,,,,,,,,,,
